"title","name","date","image","categories","tags","description","file_path"
"এ মাসের তারা: রোহিণী","আব্দুল্যাহ আদিল মাহমুদ","2023-09-10","../img/star/aldebaran.jpg","নক্ষত্র, রাতের আকাশ","আকাশ","রাতের আকাশের চতুর্দশ উজ্জ্বল তারার গল্প দিয়ে। নাম রোহিণী। অবস্থান বৃষমণ্ডলে (Taurus)। এ মণ্ডলটা রাশিচক্রের ১২টি (বর্তমানে ১৩টি) মণ্ডলের অন্যতম।","aldebaran.qmd"
"আর্টিমিস ২ পৃথিবী ছেড়ে যায়নি!","আব্দুল্যাহ আদিল মাহমুদ","2026-04-15","../img/mission/artemis-ii-trajectory.jpg","মহাকাশযান, চাঁদ, সৌরজগৎ","চাঁদ, কক্ষপথ","পৃথিবী সূর্যের চারদিকে চলছে সেকেন্ডে ৩০ কিলোমিটার বেগে। ঘণ্টায় ১ লাখ কিলোমিটারের বেশি। তারমানে আর্টিমিস ২ পৃথিবীতে আসতে আসতে পৃথিবী আগের জায়গা থেকে দূরে সরেছে ২ কোটি ১৭ লাখ ৬৬ হাজার কিলোমিটার। অথচ পুরো ভ্রমণপথে যানটি নিজে চলেছে মাত্র প্রায় ১১ লাখ ২৭ হাজার কিলোমিটার পথ। তাহলে পৃথিবীকে ধরার জন্য বাড়তি দূরত্বটা কীভাবে পার হলো?","artemis-did-not-leave.qmd"
"নীল বামন: যে তারার এখনও জন্ম হয়নি","আব্দুল্যাহ আদিল মাহমুদ","2026-04-28","../img/star/blue-dwarf-size.jpg","নক্ষত্র, কসমোলজি","বামন নক্ষত্র, নক্ষত্রের জীবনচক্র","নীল বামন তারার জন্ম হয় লোহিত বামন তারা থেকে। ‘হয়’ না বলে বলা উচিত ‘হবে’। কারণ মহাবিশ্বের যে বয়স, তাতে এখনও এ তারার বয়সের সময়ই আসেনি।","blue-dwarf.qmd"
"সেরেস: গ্রহাণু নাকি বামন গ্রহ?","আব্দুল্যাহ আদিল মাহমুদ","2026-04-25","../img/solar-system/ceres.jpg","সৌরজগৎ, বামন গ্রহ, গ্রহ","সেরেস, পরিভাষা","সেরেস চাঁদের চার ভাগের এক ভাগ পরিমাণ চওড়া। আকাশ অনেক বেশি অন্ধকার না হলে একে খালি সাধারণত দেখা যায় না। ২০১৫ সালে নাসার ডন মহাকাশযান সেরেসকে কাছ থেকে পর্যবেক্ষণ করে। এসময়ে এই যানটিই প্রথমবারের মতো সেরেসকে প্রদক্ষিণও করে।","ceres-asteroid-or-dwarf-planet.qmd"
"কতরকম ধূমকেতু!","আব্দুল্যাহ আদিল মাহমুদ","2026-05-01","../img/solar-system/comets.png","ধূমকেতু, সূর্য, সৌরজগৎ","উর্ট ক্লাউড, কক্ষপথ","স্বল্পকালীন বা স্বল্প পর্যায়ের ধূমকেতুরা ২০০ বছরের মধ্যেই সূর্যকে একবার প্রদক্ষিণ করে। এর সবচেয়ে বিখ্যাত নমুনা হ্যালির ধূমকেতু। পর্যায়কাল ২০ থেকে ২০০ বছরে মধ্যে হলে তাদেরকে বলে হ্যালি-টাইপ ধূমকেতু।","comet-types.qmd"
"গ্যানিমিড: সৌরজগতের সবচেয়ে বড় উপগ্রহ","আব্দুল্যাহ আদিল মাহমুদ","2026-04-25","../img/solar-system/ganymede-juno.jpg","সৌরজগৎ, গ্রহ, উপগ্রহ","গ্যানিমিড","১৬১০ সালের জানুয়ারি মাসের সাত তারিখে উপগ্রহটি আবিষ্কৃত হয়। টাইটান ও গ্যানিমিড দুটো চাঁদই বুধ গ্রহের চেয়েও বড়। গ্যানিমিডের প্রধান উপাদান সিলিকেট পাথর ও পানি।","ganymede.qmd"
"গ্র্যাভিটি হিলের রহস্য","মোকারম হোসাইন","2016-10-14","../img/earth/gravity-hill-2.jpg","মহাকর্ষ, পৃথিবী","রহস্য","সাধারণত একটি বস্তু নিজে নিজেই ঢালু পথে উপর হতে নিচে নামে। কারণ পৃথিবী অভিকর্ষ বল দ্বারা প্রতিটি বস্তুকে কেন্দ্রের দিকে টানে। কিন্তু এমনটা অস্বাভাবিক মনে হয় যখন কোনো বস্তু পাহাড়ের ঢালু পথে নিচ থেকে উপরে ওঠে কোনো প্রকার বল প্রয়োগ ছাড়াই। অনেকেই একে  রহস্যময় পর্বত বা রহস্যময় স্থান হিসেবে অভিহিত করে থাকেন। তবে এর পেছনে আছে বৈজ্ঞানিক ব্যাখ্যা।","gravity-hill.qmd"
"সূর্য কত বড়?","আব্দুল্যাহ আদিল মাহমুদ","2023-09-10","https://github.com/bishwo-web/bishwo/blob/main/img/earth/earth_sun_size.png?raw=true","সূর্য, সৌরজগৎ","চাঁদ, পৃথিবী","সূর্য সৌরজগতের সবচেয়ে বড় বস্তু। যেমন ভারী, তেমনি তার বিশাল অবয়ব৷ সৌরজগতের মোট ভরের ৯৯.৮৬ ভাগ ভরই সূর্যের একার৷ আর আকার? ১০৯টা পৃথিবীকে পাশাপাশি বসালে সূর্যের এপাশ থেকে ওপাশ পর্যন্ত যাওয়া যাবে৷ মানে ব্যাস পৃথিবীর ১০৯ গুণ।","how-big-is-sun.qmd"
"নক্ষত্রের দূরত্ব বের করা হয় কীভাবে?","আব্দুল্যাহ আদিল মাহমুদ","2023-10-12","../img/star/stars.jpg","নক্ষত্র, দূরত্ব, মহাবিশ্ব","পারসেক","পারালাক্স পদ্ধতি দিয়ে পৃথিবী থেকে সর্বোচ্চ ৪০০ আলোকবর্ষ দূরের তারার দূরত্ব মাপা যায়। আরও দূরের তারার দূরত্ব মাপার সরাসরি কোনো উপায় নেই। তবে নক্ষত্রের রঙ ও উজ্জ্বলতার সম্পর্ক কাজে লাগিয়ে দূরত্ব জানা যায়।","how-is-star-distance-measured.qmd"
"সৌরজগতের ধূমকেতুর দুই উৎস কাইপার বেল্ট ও উর্ট ক্লাউড","আব্দুল্যাহ আদিল মাহমুদ","2026-04-22","../img/solar-system/kuiper-belt-oort-cloud.jpg","সৌরজগৎ, সূর্য","উপগ্রহ, চাঁদ, ধূমকেতু","কাইপের বেল্টের বিস্তৃতি সূর্য থেকে ৩০ থেকে ৫০ এইউ পর্যন্ত। এক এইউ পৃথিবী থেকে সূর্যের গড় দুরত্বের সমান। উর্ট ক্লাউড অবশ্য কাইপার বেল্টের তুলনায় অনেক দূরে আছে। এটি সূর্যের ৫০ হাজার থেকে ২ লাখ এইউ পর্যন্ত বিস্তৃত।","kuiper-oort.qmd"
