,blue-dwarf.qmd,artemis-did-not-leave.qmd,red-giant.qmd,planet-orbiting-dead-star-WD-1856-b.qmd,moonless-earth-day-year.qmd,black-hole-older-than-galaxy.qmd,why-sun-moon-same-size.qmd,ngrst-nasa.qmd,kuiper-oort.qmd,ganymede.qmd,aldebaran.qmd,nova-star.qmd,ceres-asteroid-or-dwarf-planet.qmd,gravity-hill.qmd,mercury-diamond.qmd,why-no-aliens-visited-us.qmd,M-82-65.qmd,asteroid-belt-not-wall.qmd,meghnad-saha.qmd,earth-inside.qmd,how-big-is-sun.qmd,pink-planet.qmd,variable-star.qmd,star-vs-universe.qmd,saturn-moons.qmd,apod-abell-2744.qmd,parsec.qmd,hot-jupiter.qmd,how-is-star-distance-measured.qmd,comet-types.qmd
blue-dwarf.qmd,0.9999999999999998,0.14773195806615036,0.3160966308725435,0.334870638295068,0.18628330019763734,0.25211285178163706,0.1924551123603836,0.13586755095320632,0.2068949576294449,0.15995154212523327,0.294653821641856,0.3805945194992212,0.1967629892543145,0.2091381971455934,0.0959852869365958,0.2703533203158325,0.15212594872307883,0.15871679870089384,0.1480598847286907,0.03669214147385156,0.23655262165218008,0.1503622076376658,0.22221181236141627,0.5160698261942579,0.10953330623367886,0.06328593076013532,0.12905677258965925,0.26103939251691893,0.2354907229245172,0.23346020810155715
artemis-did-not-leave.qmd,0.14773195806615036,1.0,0.23143279851636617,0.14696991531285666,0.3037113869948077,0.19283560748686585,0.1512681989782378,0.1495652412837526,0.12565597438030307,0.16632292958221756,0.304504899965182,0.22768659562246005,0.17545991492170593,0.22653763308086952,0.09311944063173659,0.30278073969238406,0.16158153857854174,0.15849149497347587,0.14587002753072462,0.038896566745505456,0.12928809850570783,0.1522342911054528,0.186285845978093,0.29387735894691325,0.12274137378683146,0.07433520830245363,0.16414327649865562,0.128034036796142,0.19602065772555619,0.1552259126888934
red-giant.qmd,0.3160966308725435,0.23143279851636617,1.0,0.264592883229744,0.22492825950698345,0.2212178138635102,0.3068126621828171,0.1658588985386712,0.18771658458421506,0.1601101602608057,0.3820122343610174,0.486925651119567,0.19975780479046906,0.2080702275754587,0.1588985008706418,0.24160724026264865,0.1328523666244799,0.16819606868880196,0.17016375451982882,0.02533182840676399,0.4421557342424999,0.16023355659863536,0.3628652450853243,0.3297502013617247,0.1304092234889902,0.10849256182746907,0.29094883637247815,0.19125946767684793,0.2553963668803466,0.17957767609092387
planet-orbiting-dead-star-WD-1856-b.qmd,0.334870638295068,0.14696991531285666,0.264592883229744,1.0000000000000002,0.22371839721096076,0.28040468110027816,0.2239220580489476,0.1947547917206424,0.223356214139549,0.29897022692795566,0.30898315857062414,0.41126384680689815,0.31312096854576615,0.1955256263828905,0.2294272470503011,0.32928885909312583,0.19104047576105004,0.19814618970079198,0.16369705604956017,0.005412227624437936,0.21391499339425443,0.3247254184051092,0.19752049788813864,0.4323475293668873,0.19962341644134002,0.07954483033163426,0.17263514508050962,0.2904238279034351,0.3597903505115802,0.24049530253845336
moonless-earth-day-year.qmd,0.18628330019763734,0.3037113869948077,0.22492825950698345,0.22371839721096076,1.0000000000000002,0.2963924488953539,0.18505524543682084,0.21522015476700182,0.14329901840339535,0.1602618481984052,0.26401398538301,0.2439716920078251,0.22958103756108197,0.19093254576200003,0.1484557071196908,0.35028103665671567,0.2425437624904614,0.2124338273790904,0.19047382391318576,0.005193375415996018,0.16823905732359629,0.24787183297804533,0.15479282828740362,0.3008132307446628,0.1559565366501347,0.07990750648791826,0.14489358185017442,0.15371406312178057,0.1996016427293296,0.13862852739429543
black-hole-older-than-galaxy.qmd,0.25211285178163706,0.19283560748686585,0.2212178138635102,0.28040468110027816,0.2963924488953539,1.0000000000000002,0.18510036795321613,0.20016585541118587,0.15576403395591068,0.17084544445424144,0.26335569340219556,0.29058500320604097,0.15831995252089934,0.2358343593143397,0.11246263911735573,0.31258397293847684,0.2231265233917268,0.19676070883210073,0.16727886533205238,0.006572706020433751,0.22534877845928447,0.21860224713751042,0.16193529891401917,0.4098579427479029,0.12709190978182605,0.12314683747670035,0.14461020021859383,0.13415128970455703,0.172020597796789,0.14860311177999894
why-sun-moon-same-size.qmd,0.1924551123603836,0.1512681989782378,0.3068126621828171,0.2239220580489476,0.18505524543682084,0.18510036795321613,1.0,0.12828596156747304,0.2307595661786957,0.16004734044700722,0.3777399073798016,0.24849424940651998,0.2342053537616228,0.16689656265600958,0.12098407159537164,0.20291993536590097,0.12338832522997223,0.11420457662357673,0.11840855038417429,0.041223876633002865,0.46264673784462174,0.1590759072758808,0.1866415142372702,0.20050479993338133,0.17514062673253972,0.03267661454883807,0.2559189894312528,0.18762166025945842,0.26051408488657346,0.1876361093289165
ngrst-nasa.qmd,0.13586755095320632,0.1495652412837526,0.1658588985386712,0.1947547917206424,0.21522015476700182,0.20016585541118587,0.12828596156747304,1.0,0.14316474220914838,0.1405626629498157,0.1831962361780238,0.21560697121544473,0.19188069532914653,0.16414527318922859,0.11980110246613662,0.1778031002415106,0.26051060108334984,0.15348928695707847,0.18549984602948413,0.05727187897905495,0.13334469112911632,0.21894975844498665,0.14533833232363452,0.23510322843423456,0.0956408030309918,0.03566456730512534,0.1331119969080522,0.10763443285524389,0.1790538170549611,0.1093436195483762
kuiper-oort.qmd,0.2068949576294449,0.12565597438030307,0.18771658458421506,0.223356214139549,0.14329901840339535,0.15576403395591068,0.2307595661786957,0.14316474220914838,1.0000000000000002,0.16880434644697015,0.2328409360764468,0.22023112442309722,0.29814038308943996,0.15731305045280516,0.14293367863935796,0.24132220004338253,0.15578097453012546,0.2464716955204893,0.13977142320757016,0.021949477759678024,0.23293066444773108,0.1705237945020747,0.1510960708876476,0.20080654121667763,0.13874602897057187,0.02585998875461722,0.12561635889267536,0.16097414264463358,0.1635273339817896,0.44017558289086883
ganymede.qmd,0.15995154212523327,0.16632292958221756,0.1601101602608057,0.29897022692795566,0.1602618481984052,0.17084544445424144,0.16004734044700722,0.1405626629498157,0.16880434644697015,1.0000000000000002,0.1763761581592829,0.13982266435399723,0.4266096207730006,0.10461508684481685,0.3815369516479212,0.21200292663212994,0.10350765063728667,0.2231313603828716,0.11852703763849076,0.012365247643201783,0.14852566500418357,0.2792797841687894,0.10774391719863219,0.19255509289861067,0.666952835573176,0.030265379677363105,0.09264894570861196,0.19487501542851382,0.11448439159554827,0.18890034398210093
